id,code,name,notes
ExonerationIssuer_01,01,Ministerio de Hacienda,
ExonerationIssuer_02,02,Ministerio de Relaciones Exteriores y Culto,
ExonerationIssuer_03,03,Ministerio de Agricultura y Ganadería,
ExonerationIssuer_04,04,Ministerio de Economía Industria y Comercio,
ExonerationIssuer_05,05,Cruz Roja Costarricense,
ExonerationIssuer_06,06,Benemérito Cuerpo de Bomberos de Costa Rica,
ExonerationIssuer_07,07,Asociación Obras del Espíritu Santo,
ExonerationIssuer_08,08,Federación Cruzada Nacional de protección al Anciano (Fecrunapa),
ExonerationIssuer_09,09,Escuela de Agricultura de la Región Húmeda (EARTH),
ExonerationIssuer_10,10,Instituto Centroamericano de Administración de Empresas (INCAE),
ExonerationIssuer_11,11,Junta de Protección Social (JPS),
ExonerationIssuer_12,12,Autoridad Reguladora de los Servicios Públicos (Aresep),
ExonerationIssuer_99,99,Otros,
