id,sequence,name,notes
SaleConditions_1,01,Contado,
SaleConditions_2,02,Crédito,
SaleConditions_3,03,Consignación,
SaleConditions_4,04,Apartado,
SaleConditions_5,05,Arrendamiento con opción de compra,
SaleConditions_6,06,Arrendamiento en función financiera,
SaleConditions_7,07,Cobro a favor de un tercero,
SaleConditions_8,08,Servicios prestados al Estado,
SaleConditions_9,09,Pago de servicios prestado al Estado,
SaleConditions_10,10,Venta a crédito en IVA hasta 90 días (Artículo 27 LIVA),
SaleConditions_11,11,Pago de venta a crédito en IVA hasta 90 días (Artículo 27 LIVA),
SaleConditions_12,12,Venta Mercancía No Nacionalizada,
SaleConditions_13,13,Venta Bienes Usados No Contribuyente,
SaleConditions_14,14,Arrendamiento Operativo,
SaleConditions_15,15,Arrendamiento Financiero,
SaleConditions_99,99,Otros (se debe indicar la condición de la venta en la representación gráfica),
